"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAR009C",1.00227287926604,2.14131728812117,1.71035608558718,1.25197162518707,0.210580203512603,0.459447716754771
"YAR030C",3.05731186417179,1.35524191178373,0.95080434823505,1.42536360324753,0.154052123374032,0.448712109503658
"YAL037C-A",5.43137063482501,1.32949428622417,0.742139398693143,1.79143472043839,0.0732235614191279,0.292894245676512
"YAR029W",7.18737695092285,1.1651096677133,0.649991010296921,1.79250120271828,0.0730527166968604,0.292894245676512
"YAR028W",59.3782867426993,0.823612602235947,0.616968058138619,1.33493556331064,0.18189743694287,0.448712109503658
"YAL007C",426.016574958232,0.812602362347617,0.421546921948947,1.92766764513591,0.053896478982581,0.282283388606574
"YAR015W",1383.40815302868,0.70022668546936,0.541893169000392,1.29218585050821,0.196292790583237,0.448712109503658
"YAL023C",1423.06258874564,0.7001211361826,0.487107362118088,1.43730354051367,0.150631763288814,0.448712109503658
"YAL012W",1403.57263886739,0.648151167048875,0.488918017131445,1.32568476582572,0.184944135570995,0.448712109503658
"YAL033W",113.606436862621,0.568948050300087,0.341173597301176,1.66762039853231,0.0953911062682323,0.339168377842604
"YAL029C",566.794087076915,0.541593816240773,0.420309853534595,1.28855845678192,0.197551633870311,0.448712109503658
"YAR002C-A",680.885433216798,0.514625058315775,0.292951575444601,1.75668984723755,0.0789706890092549,0.303247445795539
"YAL059W",84.4699159224037,0.470812673912115,0.349091014684481,1.34868173085935,0.177439216029051,0.448712109503658
"YAL058W",132.351480089397,0.467817258501401,0.336617177800337,1.38976050348472,0.164601615356449,0.448712109503658
"YAR003W",207.004988370222,0.465789915972073,0.255816346410648,1.82079809405285,0.0686375541437268,0.292894245676512
"YAL042W",651.479482404822,0.46453963014579,0.35095543236357,1.32364279708471,0.185621704577448,0.448712109503658
"YAL025C",504.432800291585,0.456519986873231,0.388038517953794,1.17648111141274,0.239402676038123,0.489318816914934
"YAL037C-B",35.3216957897679,0.425712953720639,0.316251499337509,1.34612153495694,0.178263324654992,0.448712109503658
"YAR008W",139.822429112192,0.387363038935205,0.192140489608973,2.0160406571438,0.0437957245352273,0.254936300321775
"YAL040C",281.982611519051,0.367726595542308,0.312671032707128,1.17608143088442,0.239562337447936,0.489318816914934
"YAR033W",41.6289327688151,0.357764611515379,0.303812277975674,1.17758444095543,0.238962315704039,0.489318816914934
"YAL026C",347.778774559172,0.302167218962607,0.236299176458898,1.27874850640948,0.200985632381847,0.448712109503658
"YAR007C",485.28066925513,-0.215156115487868,0.131656230189731,-1.63422661561709,0.102211275912705,0.350438660272131
"YAL048C",104.231963425691,-0.299398393175159,0.227246981350573,-1.3175021793283,0.187670351047806,0.448712109503658
"YAL010C",118.311989896475,-0.355369605990453,0.234865425642663,-1.51307756353688,0.130259957983844,0.431205378153414
"YAL049C",334.139382484956,-0.447903175198343,0.32649224929111,-1.37186464968416,0.170105576904482,0.448712109503658
"YAL016W",604.933014562189,-0.553901578240272,0.225042889836418,-2.46131561251679,0.0138428531994364,0.13289139071459
"YAL017W",421.845331086948,-0.605392665624218,0.280787320883988,-2.15605413990309,0.031079437896861,0.213116145578475
"YAL032C",115.125293530523,-0.663227973168632,0.280023999517479,-2.36846832525594,0.0178619097757707,0.155885758043089
"YAL056W",243.145175228398,-0.692187983159893,0.222568099199438,-3.11000536756905,0.00187083944174231,0.0287500761410934
"YAL030W",152.705382322243,-0.71667912941243,0.39647534949852,-1.80762594778949,0.0706647369569104,0.292894245676512
"YAL027W",103.852779796096,-0.745054131401067,0.319705948353721,-2.3304356244781,0.0197831387519605,0.158265110015684
"YAL044W-A",7.40755147681809,-1.01011041990244,0.678207674451988,-1.48938217297325,0.136386760216776,0.436437632693684
"YAL008W",183.257167390271,-1.11005219723447,0.554111484969631,-2.00330119000386,0.0451449698486476,0.254936300321775
"YAL055W",27.357021712747,-1.14242562139373,0.3702819660042,-3.08528561010387,0.00203356771788014,0.0287500761410934
"YAR020C",19.5265317492627,-1.20393683175141,0.703607707169676,-1.71109102342604,0.0870643110076766,0.321468225259114
"YAL063C",7.18983077381728,-1.23197253398397,0.644317113231484,-1.912059308506,0.0558685873283844,0.282283388606574
"YAL034C",175.486582045114,-1.44689919987622,0.500174494029357,-2.89278885098706,0.00381837898518672,0.0458205478222406
"YAR068W",10.4289612617172,-1.58149063182717,0.608917158928736,-2.59721804294278,0.00939822440225717,0.10024772695741
"YAL064W-B",3.27924082867592,-1.70890189669027,0.92731821310813,-1.84284302037212,0.0653519335771919,0.292894245676512
"YAR066W",7.27610981397511,-1.983780368762,0.954764485899207,-2.07776933271,0.0377306096940332,0.241475902041812
"YAL005C",3166.828019623,-1.98767611557186,0.646140251790947,-3.07623013743919,0.00209635971862139,0.0287500761410934
"YAL018C",9.14630583119758,-2.0248344283616,0.910772815741155,-2.2232047261027,0.0262019983028789,0.193491679775106
"YAR035W",321.218887677037,-2.3253765861679,0.658334312800814,-3.53221234402143,0.000412098300428211,0.0131871456137028
"YAL061W",243.215026974,-2.47402846165189,0.7490414661,-3.30292590413358,0.000956816663968159,0.0229635999352358
"YAL062W",246.003375553221,-3.60545830594881,0.86466711689893,-4.1697645665994,3.04914464297517e-05,0.00146358942862808
"YAL054C",2410.59263082416,-5.78881199721725,1.16008519565359,-4.98998868264655,6.03828301079522e-07,5.79675169036341e-05
