"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL064W-B",3.27924082867592,-1.70890189669027,0.92731821310813,-1.84284302037212,0.0653519335771919,0.292894245676512
"YAL063C",7.18983077381728,-1.23197253398397,0.644317113231484,-1.912059308506,0.0558685873283844,0.282283388606574
"YAL062W",246.003375553221,-3.60545830594881,0.86466711689893,-4.1697645665994,3.04914464297517e-05,0.00146358942862808
"YAL061W",243.215026974,-2.47402846165189,0.7490414661,-3.30292590413358,0.000956816663968159,0.0229635999352358
"YAL060W",842.816374947412,0.00680414454034411,0.195405291279738,0.0348206770440184,0.972222732731357,0.972222732731357
"YAL059W",84.4699159224037,0.470812673912115,0.349091014684481,1.34868173085935,0.177439216029051,0.448712109503658
"YAL058W",132.351480089397,0.467817258501401,0.336617177800337,1.38976050348472,0.164601615356449,0.448712109503658
"YAL056C-A",1.49900807620505,0.86615250558044,1.31844782819294,0.656948638436139,0.51121394233057,0.673923074636699
"YAL056W",243.145175228398,-0.692187983159893,0.222568099199438,-3.11000536756905,0.00187083944174231,0.0287500761410934
"YAL055W",27.357021712747,-1.14242562139373,0.3702819660042,-3.08528561010387,0.00203356771788014,0.0287500761410934
"YAL054C",2410.59263082416,-5.78881199721725,1.16008519565359,-4.98998868264655,6.03828301079522e-07,5.79675169036341e-05
"YAL053W",574.207569490317,-0.0236468993309932,0.164851803166075,-0.143443376880572,0.885940027364547,0.913758502407516
"YAL051W",207.678496979268,-0.0573893515769745,0.181063937034891,-0.316956278079359,0.751276778053044,0.838634542942933
"YAL049C",334.139382484956,-0.447903175198343,0.32649224929111,-1.37186464968416,0.170105576904482,0.448712109503658
"YAL048C",104.231963425691,-0.299398393175159,0.227246981350573,-1.3175021793283,0.187670351047806,0.448712109503658
"YAL047C",90.7529447606599,-0.22375425719169,0.207102153372116,-1.0804052664274,0.279961751695051,0.522452451557
"YAL046C",118.111568289226,-0.111621654437294,0.216691740801094,-0.515117253775511,0.606471086617588,0.738642480978771
"YAL044W-A",7.40755147681809,-1.01011041990244,0.678207674451988,-1.48938217297325,0.136386760216776,0.436437632693684
"YAL044C",900.782283957821,0.373060955957975,0.35612313772388,1.04756168987601,0.294840595833999,0.524161059260442
"YAL043C",284.074906263025,-0.0562286120119075,0.141116429620308,-0.3984554609495,0.690294483043099,0.803077342734091
"YAL042W",651.479482404822,0.46453963014579,0.35095543236357,1.32364279708471,0.185621704577448,0.448712109503658
