# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "genes.gtf" "-p" "--countReadPairs" "-o" "feature-count/counts.txt" "-T" "2" "-t" "exon" "-g" "gene_id" "bam-files/read_output.bam" "bam-files/read_output2.bam" "bam-files/read_output3.bam" 
Geneid	Chr	Start	End	Strand	Length	bam-files/read_output.bam	bam-files/read_output2.bam	bam-files/read_output3.bam
R0010W	2-micron	252	1523	+	1272	0	0	0
R0020C	2-micron	1887	3008	-	1122	0	0	0
R0030W	2-micron	3271	3816	+	546	0	0	0
R0040C	2-micron	5308	6198	-	891	0	0	0
YAL069W	chrI	335	649	+	315	0	0	0
YAL068W-A	chrI	538	792	+	255	0	0	0
YAL068C	chrI	1807	2169	-	363	0	0	0
YAL067W-A	chrI	2480	2707	+	228	0	0	0
YAL067C	chrI	7236	9017	-	1782	0	0	0
YAL066W	chrI	10092	10400	+	309	0	0	0
YAL065C	chrI	11566	11952	-	387	0	0	0
YAL064W-B	chrI	12047	12427	+	381	6	4	6
YAL064C-A	chrI	13364	13744	-	381	0	0	0
YAL064W	chrI	21526	21852	+	327	0	0	0
YAL063C-A	chrI	22397	22687	-	291	0	0	0
YAL063C	chrI	24001	27969	-	3969	11	12	11
YAL062W	chrI	31568	32941	+	1374	722	623	722
YAL061W	chrI	33449	34702	+	1254	628	560	628
YAL060W	chrI	35156	36304	+	1149	856	704	856
YAL059C-A	chrI	36497	36919	-	423	0	0	0
YAL059W	chrI	36510	37148	+	639	61	50	61
YAL058W	chrI	37465	38973	+	1509	88	90	88
YAL056C-A	chrI	38697	39047	-	351	0	1	0
YAL056W	chrI	39260	41902	+	2643	366	312	366
YAL055W	chrI	42178	42720	+	543	52	33	52
YAL054C	chrI	42882	45023	-	2142	7690	6701	7690
YAL053W	chrI	45900	48251	+	2352	717	526	717
YAL051W	chrI	48565	51708	+	3144	264	196	264
YAL049C	chrI	51856	52596	-	741	482	442	482
YAL048C	chrI	52802	54790	-	1989	136	120	136
YAL047W-A	chrI	54585	54914	+	330	0	0	0
YAL047C	chrI	54990	56858	-	1869	116	86	116
YAL046C	chrI	57030	57386	-	357	134	133	134
YAL045C	chrI	57489	57797	-	309	0	0	0
YAL044W-A	chrI	57519	57851	+	333	15	11	15
YAL044C	chrI	57951	58463	-	513	684	520	684
YAL043C	chrI	58696	61053	-	2358	333	262	333
YAL042C-A	chrI	61232	61609	-	378	0	0	0
YAL042W	chrI	61317	62564	+	1248	537	336	537
YAL041W	chrI	62841	65405	+	2565	283	235	283
YAL040C	chrI	65779	67521	-	1743	199	204	199
YAL039C	chrI	68717	69526	-	810	358	227	358
YAL038W	chrI	71787	73289	+	1503	3091	2603	3091
YAL037C-B	chrI	72327	73301	-	975	25	32	25
YAL037C-A	chrI	73427	73519	-	93	3	2	3
YAL037W	chrI	74021	74824	+	804	51	45	51
YAL036C	chrI	75044	76153	-	1110	282	233	282
YAL035W	chrI	76428	79436	+	3009	1441	1179	1441
YAL034C-B	chrI	79490	79843	-	354	2	0	2
YAL034W-A	chrI	79719	80588	+	870	74	55	74
YAL034C	chrI	80711	81952	-	1242	369	312	369
YAL033W	chrI	82707	83228	+	522	84	63	84
YAL032C	chrI	83336	84475	-	1140	180	149	180
YAL031W-A	chrI	84670	84978	+	309	4	6	4
YAL031C	chrI	84750	87032	-	2283	146	129	146
YAL030W	chrI;chrI	87287;87502	87388;87753	+;+	354	280	200	280
YAL029C	chrI	87856	92271	-	4416	367	283	367
YAL028W	chrI	92901	94487	+	1587	72	53	72
YAL027W	chrI	94688	95473	+	786	185	127	185
YAL026C-A	chrI	95387	95824	-	438	6	8	6
YAL026C	chrI	95631	99698	-	4068	329	234	329
HRA1	chrI	99306	99869	+	564	1	2	1
YAL025C	chrI	100226	101146	-	921	336	286	336
YAL024C	chrI	101566	105873	-	4308	164	135	164
YAL023C	chrI	106273	108552	-	2280	756	616	756
YAL022C	chrI	108878	110431	-	1554	187	158	187
YAL021C	chrI	110847	113360	-	2514	365	310	365
YAL020C	chrI	113615	114616	-	1002	50	40	50
YAL019W-A	chrI	114251	114820	+	570	0	0	0
YAL019W	chrI	114920	118315	+	3396	340	240	340
YAL018C	chrI	118565	119542	-	978	27	14	27
YAL017W	chrI	120226	124296	+	4071	662	541	662
YAL016C-B	chrI	124308	124493	-	186	7	8	7
YAL016C-A	chrI	124756	125070	-	315	0	1	0
YAL016W	chrI	124880	126787	+	1908	911	731	911
YAL015C	chrI	126904	128103	-	1200	222	167	222
YAL014C	chrI	128253	129020	-	768	166	137	166
YAL013W	chrI	129271	130533	+	1263	299	252	299
YAL012W	chrI	130802	131986	+	1185	836	566	836
YAL011W	chrI	132202	134079	+	1878	209	151	209
YAL010C	chrI	134186	135667	-	1482	170	129	170
YAL009W	chrI	135856	136635	+	780	171	147	171
YAL008W	chrI	136916	137512	+	597	384	297	384
YAL007C	chrI	137700	138347	-	648	252	184	252
tP(UGG)A	chrI;chrI	139154;139221	139189;139256	+;+	72	2	0	2
YAL005C	chrI	139505	141433	-	1929	7778	6491	7778
YAL004W	chrI	140762	141409	+	648	0	0	0
YAL003W	chrI;chrI	142176;142622	142255;143162	+;+	621	2295	1811	2295
snR18	chrI	142369	142470	+	102	39	37	39
YAL002W	chrI	143709	147533	+	3825	305	228	305
YAL001C	chrI;chrI	147596;151099	151008;151168	-;-	3483	484	410	484
YAR002W	chrI	152259	153878	+	1620	249	226	249
YAR002C-A	chrI	154067	154726	-	660	522	406	522
YAR003W	chrI	155007	156287	+	1281	189	122	189
YAR007C	chrI	156756	158621	-	1866	614	462	614
YAR008W	chrI	158967	159794	+	828	131	100	131
YAR009C	chrI	160598	164188	-	3591	0	0	0
YAR010C	chrI	164545	165867	-	1323	0	0	0
tA(UGC)A	chrI	166268	166340	+	73	0	0	0
YAR014C	chrI	166743	168866	-	2124	444	411	444
YAR015W	chrI	169370	170290	+	921	659	559	659
YAR018C	chrI	170391	171698	-	1308	105	90	105
YAR019C	chrI	172209	175133	-	2925	121	90	121
YAR019W-A	chrI	174996	175340	+	345	6	0	6
YAR020C	chrI	176854	177021	-	168	39	37	39
YAR023C	chrI	179279	179818	-	540	32	34	32
tL(CAA)A	chrI;chrI	181135;181205	181172;181248	+;+	82	0	0	0
tS(AGA)A	chrI	182516	182597	-	82	0	1	0
YAR027W	chrI	183764	184471	+	708	316	261	316
YAR028W	chrI	184886	185590	+	705	35	14	35
YAR029W	chrI	186315	186539	+	225	5	2	5
YAR030C	chrI	186506	186847	-	342	1	1	1
YAR031W	chrI	186830	187726	+	897	22	20	22
YAR033W	chrI	188101	188805	+	705	33	41	33
YAR035W	chrI	190187	192250	+	2064	806	704	806
YAR035C-A	chrI	192331	192411	-	81	1	2	1
YAR042W	chrI	192613	196179	+	3567	382	303	382
YAR047C	chrI	201460	201780	-	321	0	0	0
YAR050W	chrI	203394	208007	+	4614	15	13	15
YAR053W	chrI	208358	208654	+	297	0	0	0
YAR060C	chrI	217148	217483	-	336	0	0	0
YAR061W	chrI	218131	218334	+	204	0	0	0
YAR062W	chrI	218540	219136	+	597	0	0	0
YAR064W	chrI	220189	220488	+	300	1	2	1
YAR066W	chrI	221040	221651	+	612	15	16	15
YAR068W	chrI	222397	222882	+	486	21	18	21
YAR069C	chrI	224002	224295	-	294	0	0	0
YAR070C	chrI	224554	224853	-	300	0	0	0
YAR071W	chrI	225451	226854	+	1404	20	15	20
YAR073W	chrI	227733	228944	+	1212	8	6	8
YAR075W	chrI	228835	229308	+	474	1	0	1
YBL113C	chrII	280	2658	-	2379	0	0	0
YBL113W-A	chrII	646	1128	+	483	0	0	0
YBL112C	chrII	2582	2899	-	318	0	0	0
YBL111C	chrII;chrII	2907;4216	4116;5009	-;-	2004	0	0	0
YBL109W	chrII	5790	6125	+	336	0	0	0
YBL108C-A	chrII	7605	7733	-	129	0	0	0
YBL108W	chrII	8177	8482	+	306	0	0	0
YBL107W-A	chrII	9268	9372	+	105	0	0	0
tL(UAA)B1	chrII	9583	9666	+	84	0	0	0
YBL107C	chrII	9961	10551	-	591	0	0	0
YBL106C	chrII	10847	13879	-	3033	0	0	0
YBL105C	chrII	14241	17696	-	3456	0	0	0
YBL104C	chrII	18177	21293	-	3117	0	0	0
YBL103C	chrII	22075	23535	-	1461	0	0	0
YBL102W	chrII	24098	24745	+	648	0	0	0
YBL101C	chrII	24946	28299	-	3354	0	0	0
YBL100W-C	chrII	28427	28546	+	120	0	0	0
YBL100W-B	chrII;chrII	29932;31226	31224;35245	+;+	5313	0	0	0
YBL100W-A	chrII	29932	31248	+	1317	0	0	0
tF(GAA)B	chrII;chrII	36395;36450	36431;36485	+;+	73	0	0	0
YBL100C	chrII	36986	37300	-	315	0	0	0
YBL099W	chrII	37050	38687	+	1638	0	0	0
YBL098W	chrII	39142	40524	+	1383	0	0	0
YBL097W	chrII	40828	43092	+	2265	0	0	0
YBL096C	chrII	43171	43479	-	309	0	0	0
YBL095W	chrII	43274	44086	+	813	0	0	0
YBL094C	chrII	43762	44094	-	333	0	0	0
YBL093C	chrII	44253	44915	-	663	0	0	0
YBL092W	chrII	45975	46367	+	393	0	0	0
YBL091C-A	chrII;chrII	46562;47144	47055;47177	-;-	528	0	0	0
YBL091C	chrII	47360	48625	-	1266	0	0	0
YBL090W	chrII	48822	49355	+	534	0	0	0
YBL089W	chrII	49571	50950	+	1380	0	0	0
YBL088C	chrII	51016	59379	-	8364	0	0	0
YBL087C	chrII;chrII	59818;60694	60189;60735	-;-	414	0	0	0
YBL086C	chrII	61199	62599	-	1401	0	0	0
YBL085W	chrII	63873	66815	+	2943	0	0	0
YBL084C	chrII	67166	69442	-	2277	0	0	0
YBL083C	chrII	69710	70135	-	426	0	0	0
YBL082C	chrII	69748	71124	-	1377	0	0	0
YBL081W	chrII	71863	72969	+	1107	0	0	0
YBL080C	chrII	73067	74692	-	1626	0	0	0
YBL079W	chrII	75256	79764	+	4509	0	0	0
YBL078C	chrII	80375	80728	-	354	0	0	0
YBL077W	chrII	80895	81326	+	432	0	0	0
YBL076C	chrII	81041	84259	-	3219	0	0	0
YBL075C	chrII	84497	86446	-	1950	0	0	0
YBL074C	chrII	86720	87787	-	1068	0	0	0
YBL073W	chrII	87644	87955	+	312	0	0	0
snR56	chrII	88188	88275	+	88	0	0	0
YBL072C	chrII	88521	89123	-	603	0	0	0
YBL071C-B	chrII	89456	89554	-	99	0	0	0
YBL071W-A	chrII	89976	90224	+	249	0	0	0
YBL071C	chrII	90221	90529	-	309	0	0	0
YBL070C	chrII	90603	90923	-	321	0	0	0
YBL069W	chrII	90739	92028	+	1290	0	0	0
YBL068W-A	chrII	91792	92028	+	237	0	0	0
YBL068W	chrII	92412	93395	+	984	0	0	0
YBL067C	chrII	93641	95884	-	2244	0	0	0
YBL066C	chrII	96671	100117	-	3447	0	0	0
YBL065W	chrII	99965	100309	+	345	0	0	0
YBL064C	chrII	100373	101158	-	786	0	0	0
YBL063W	chrII	101888	105223	+	3336	0	0	0
YBL062W	chrII	105310	105690	+	381	0	0	0
YBL061C	chrII	105318	107408	-	2091	0	0	0
YBL060W	chrII	107934	109997	+	2064	0	0	0
YBL059C-A	chrII;chrII	110127;110508	110422;110541	-;-	330	0	0	0
YBL059W	chrII;chrII	110596;110951	110881;111246	+;+	582	0	0	0
YBL058W	chrII	111439	112710	+	1272	0	0	0
YBL057C	chrII	112803	113447	-	645	0	0	0
YBL056W	chrII	113765	115171	+	1407	0	0	0
YBL055C	chrII	115576	116832	-	1257	0	0	0
YBL054W	chrII	117592	119169	+	1578	0	0	0
YBL053W	chrII	119338	119712	+	375	0	0	0
YBL052C	chrII	119382	121877	-	2496	0	0	0
YBL051C	chrII	122756	124762	-	2007	0	0	0
YBL050W	chrII;chrII	125128;125274	125157;126122	+;+	879	0	0	0
YBL049W	chrII	126831	127247	+	417	0	0	0
YBL048W	chrII	127302	127613	+	312	0	0	0
YBL047C	chrII	127898	132043	-	4146	0	0	0
YBL046W	chrII	132427	133752	+	1326	0	0	0
YBL045C	chrII	134146	135519	-	1374	0	0	0
YBL044W	chrII	136001	136369	+	369	0	0	0
YBL043W	chrII	136691	137464	+	774	0	0	0
YBL042C	chrII	138344	140263	-	1920	0	0	0
YBL041W	chrII	141250	141975	+	726	0	0	0
YBL040C	chrII;chrII	142115;142850	142752;142871	-;-	660	0	0	0
YBL039W-B	chrII	143396	143575	+	180	0	0	0
YBL039C	chrII	143992	145731	-	1740	0	0	0
YBL039C-A	chrII	144951	145034	-	84	0	0	0
YBL038W	chrII	146190	146888	+	699	0	0	0
YBL037W	chrII	147212	150289	+	3078	0	0	0
YBL036C	chrII	150450	151223	-	774	0	0	0
YBL035C	chrII	151496	153613	-	2118	0	0	0
YBL034C	chrII	153851	158392	-	4542	0	0	0
YBL033C	chrII	158659	159696	-	1038	0	0	0
YBL032W	chrII	160187	161332	+	1146	0	0	0
YBL031W	chrII	161702	162718	+	1017	0	0	0
YBL030C	chrII	163044	164000	-	957	0	0	0
YBL029C-A	chrII	164491	164775	-	285	0	0	0
YBL029W	chrII	166137	167267	+	1131	0	0	0
YBL028C	chrII	167521	167841	-	321	0	0	0
YBL027W	chrII;chrII	168426;168812	168427;169379	+;+	570	0	0	0
YBL026W	chrII;chrII	170626;170808	170679;171041	+;+	288	0	0	0
YBL025W	chrII	171484	171921	+	438	0	0	0
YBL024W	chrII	172537	174591	+	2055	0	0	0
YBL023C	chrII	174923	177529	-	2607	0	0	0
YBL022C	chrII	177877	181278	-	3402	0	0	0
YBL021C	chrII	181663	182097	-	435	0	0	0
YBL020W	chrII	182404	184128	+	1725	0	0	0
YBL019W	chrII	184356	185918	+	1563	0	0	0
